"Jahr";"Kanton (-) / Bezirk (>>) / Gemeinde (......)";"Haushaltsgrösse - Total";"1 Person";"2 Personen";"3 Personen";"4 Personen";"5 Personen";"6 oder mehr Personen"
"2016";"......3298 Walenstadt";2401;805;800;293;331;121;51
"2016";">> Wahlkreis See-Gaster";28073;8907;9599;3710;3966;1406;485
"2016";"......3311 Amden";823;302;306;80;97;27;11
"2016";"......3312 Benken (SG)";1137;300;379;169;178;81;30
"2016";"......3313 Kaltbrunn";1922;556;608;293;312;117;36
"2016";"......3315 Schänis";1518;415;540;196;239;92;36
"2016";"......3316 Weesen";723;259;244;84;90;36;10
"2016";"......3338 Schmerikon";1552;449;561;214;222;74;32
"2016";"......3339 Uznach";2534;746;822;347;391;161;67
"2016";"......3340 Rapperswil-Jona";12126;4246;4195;1540;1567;453;125
"2016";"......3341 Gommiswald";2125;661;755;254;290;125;40
"2016";"......3342 Eschenbach (SG)";3613;973;1189;533;580;240;98
"2016";">> Wahlkreis Toggenburg";18855;5944;6319;2332;2459;1177;624
"2016";"......3352 Ebnat-Kappel";2142;731;732;249;270;116;44
"2016";"......3359 Wildhaus-Alt St. Johann";1162;436;381;113;123;59;50
"2016";"......3360 Nesslau";1526;502;555;169;166;82;52
"2016";"......3372 Hemberg";344;97;118;40;39;27;23
"2016";"......3374 Lichtensteig";908;391;276;93;100;32;16
"2016";"......3375 Oberhelfenschwil";484;125;167;63;65;42;22
"2016";"......3378 Neckertal";1630;499;561;225;192;85;68
"2016";"......3379 Wattwil";3585;1181;1181;448;470;197;108
"2016";"......3392 Kirchberg (SG)";3539;1025;1140;483;530;262;99
"2016";"......3393 Lütisburg";575;132;207;77;87;46;26
"2016";"......3394 Mosnang";1059;278;343;128;151;95;64
